employee_name,user,O,C,E,A,N,logon_count,logoff_count,after_hours_logon_count,after_hours_logoff_count,unique_pc_count,email_count,emails_with_attachments,total_attachments,total_email_size,unique_recipients,file_activity_count,unique_files,unique_file_pcs,http_request_count,unique_http_pc_count,unique_domain_count,device_activity_count,device_connect_count,device_disconnect_count,unique_device_pc_count
Calvin Edan Love,CEL0561,40,39,36,19,40,615,346,0,210,1,3001,613,1379,90061502,1404,0.0,0.0,0.0,32775,1,213,0.0,0.0,0.0,0.0
Christine Reagan Deleon,CRD0624,26,22,17,39,32,50,50,22,5,1,638,73,140,19257926,470,0.0,0.0,0.0,7290,1,131,0.0,0.0,0.0,0.0
Jade Felicia Caldwell,JFC0557,22,16,23,40,33,615,346,0,184,1,3002,1180,2060,90844169,1367,2839.0,2839.0,1.0,32870,1,107,2785.0,1399.0,1386.0,1.0
Aquila Stewart Dejesus,ASD0577,40,48,36,14,37,346,346,0,346,1,329,0,0,9951810,259,0.0,0.0,0.0,3450,1,182,0.0,0.0,0.0,0.0
Micah Abdul Rojas,MAR0955,36,44,23,44,25,302,302,302,6,1,284,0,0,8419653,222,69.0,69.0,1.0,2963,1,141,42.0,21.0,21.0,1.0
Gail Rhiannon Mcconnell,GRM0868,21,25,20,13,28,346,346,346,14,1,5078,0,0,152566277,2635,0.0,0.0,0.0,56052,1,156,0.0,0.0,0.0,0.0
April Alika Levy,AAL0706,37,14,28,13,25,346,346,346,0,1,336,71,145,10022269,259,0.0,0.0,0.0,3460,1,168,0.0,0.0,0.0,0.0
Rama Vielka Clayton,RVC0232,34,20,47,38,25,346,346,157,346,1,3068,609,1078,92083278,1491,0.0,0.0,0.0,32870,1,156,0.0,0.0,0.0,0.0
Tasha Casey Dalton,TCD0009,44,28,44,38,23,346,346,0,0,1,3674,756,1612,110431427,1361,0.0,0.0,0.0,39444,1,170,0.0,0.0,0.0,0.0
Aurora Sarah Manning,ASM0575,42,25,21,45,30,621,346,0,346,1,330,130,283,9876400,274,0.0,0.0,0.0,3450,1,115,0.0,0.0,0.0,0.0
