employee_name,user,anomaly_score,risk_score,risk_level,is_anomaly
Calvin Edan Love,CEL0561,0.1577491209784465,9.39,Low,False
Christine Reagan Deleon,CRD0624,0.14302267943572228,13.17,Low,False
Jade Felicia Caldwell,JFC0557,0.04393608216861211,38.58,Medium,False
Aquila Stewart Dejesus,ASD0577,0.1446243705770211,12.76,Low,False
Micah Abdul Rojas,MAR0955,0.12079646129024446,18.87,Low,False
Gail Rhiannon Mcconnell,GRM0868,0.15077146644451966,11.18,Low,False
April Alika Levy,AAL0706,0.16185003539902493,8.34,Low,False
Rama Vielka Clayton,RVC0232,0.17667144666269596,4.54,Low,False
Tasha Casey Dalton,TCD0009,0.16964540697838,6.34,Low,False
Aurora Sarah Manning,ASM0575,0.16557451195582407,7.39,Low,False
Devin Abdul Rogers,DAR0885,0.10362524962377184,23.27,Low,False
Jacqueline Latifah Miles,JLM0364,0.00011113641421434117,49.81,Medium,False
Ferris Omar Barry,FOB0756,0.10859867509172988,22.0,Low,False
Grant Camden Gay,GCG0951,0.12892623846626222,16.78,Low,False
Howard Wing Yang,HWY0038,0.10930045934599136,21.82,Low,False
Aspen Amber Vinson,AAV0450,0.1754563548071506,4.85,Low,False
Colorado John Valentine,CJV0286,0.14654716613860713,12.26,Low,False
Tyrone Damian Garner,TDG0962,0.13996037607301887,13.95,Low,False
Stephanie Victoria Lyons,SVL0803,0.18800607178673218,1.63,Low,False
Quynn Odessa Sanford,QOS0878,0.09884376955243646,24.5,Low,False
Melyssa Deirdre Morgan,MDM0625,-0.03904804023130548,59.86,High,True
Gray Mason Fulton,GMF0738,0.1377461739624643,14.52,Low,False
Bianca Elizabeth Roach,BER0314,0.15076566016550969,11.18,Low,False
Aurelia Martina Reese,AMR0400,0.17130636756661832,5.92,Low,False
Yardley Cairo Elliott,YCE0983,0.1640712589575209,7.77,Low,False
Blaine Jelani Weeks,BJW0619,0.14787198558088605,11.92,Low,False
Delilah Pearl Schneider,DPS0262,0.15144128144570934,11.01,Low,False
TaShya Yoko Bailey,TYB0779,0.16691973121262604,7.04,Low,False
Melissa Ava Stuart,MAS0025,0.12412191093175656,18.01,Low,False
Kermit Beau Leach,KBL0260,0.16291771850596398,8.07,Low,False
Geoffrey Harlan Lara,GHL0460,0.12635612648275102,17.44,Low,False
Flynn Malcolm Gibson,FMG0527,0.13873490199074884,14.27,Low,False
Heather Cynthia Leonard,HCL0651,0.08758878923917829,27.38,Medium,False
Shannon Chantale Price,SCP0130,0.09622375171292696,25.17,Medium,False
Castor Mark Wolf,CMW0783,0.16737925921140046,6.92,Low,False
Ryan Kelly Frost,RKF0164,0.13675256719806334,14.78,Low,False
Damian Omar Le,DOL0332,0.17036298477925482,6.16,Low,False
Robert Samuel Chen,RSC0089,0.021261112909888857,44.39,Medium,False
Cailin Casey Mckee,CCM0136,0.11458814178641025,20.46,Low,False
Nina Camille Hodges,NCH0179,0.12525908723307605,17.72,Low,False
Nicolas Brandon Hendrix,NBH0256,0.1555532235787117,9.96,Low,False
Olivia Rose Galloway,ORG0339,0.141955831204801,13.44,Low,False
Forrest Rashad Richards,FRR0832,0.1739283566290722,5.24,Low,False
Miriam Shoshana Donovan,MSD0939,0.178610476176078,4.04,Low,False
Olivia Quynn Hardy,OQH0183,0.1741246894237623,5.19,Low,False
