id,date,user,pc,to,cc,bcc,from,size,attachments
EML0000001,01/01/2026 14:27:26,AAE0190,PC-AAE0190-01,colleague8@dTA.org,,,aae0190@dTA.org,450000.0,
EML0000002,01/01/2026 09:43:41,AAE0190,PC-AAE0190-01,colleague2@dTA.org,,,aae0190@dTA.org,450000.0,memo.docx
EML0000003,01/01/2026 14:51:55,AAE0190,PC-AAE0190-01,colleague2@dTA.org,,,aae0190@dTA.org,450000.0,
EML0000004,01/01/2026 12:34:28,AAE0190,PC-AAE0190-01,colleague3@dTA.org,,,aae0190@dTA.org,450000.0,
EML0000005,01/01/2026 13:29:15,AAE0190,PC-AAE0190-01,colleague2@dTA.org,,,aae0190@dTA.org,450000.0,
EML0000006,01/01/2026 10:03:41,AAE0190,PC-AAE0190-01,colleague9@dTA.org,,,aae0190@dTA.org,450000.0,
EML0000007,01/01/2026 10:59:48,AAE0190,PC-AAE0190-01,colleague4@dTA.org,,,aae0190@dTA.org,450000.0,memo.docx
EML0000008,01/01/2026 16:30:13,AAE0190,PC-AAE0190-01,colleague7@dTA.org,,,aae0190@dTA.org,450000.0,
EML0000009,01/01/2026 11:24:00,AAE0190,PC-AAE0190-01,colleague7@dTA.org,,,aae0190@dTA.org,450000.0,
EML0000010,01/01/2026 16:18:27,AAE0190,PC-AAE0190-01,colleague9@dTA.org,,,aae0190@dTA.org,450000.0,
EML0000011,01/01/2026 11:31:13,USR0002,PC-USR0002-01,colleague6@dTA.org,,,usr0002@dTA.org,450000.0,
EML0000012,01/01/2026 14:17:56,USR0002,PC-USR0002-01,colleague10@dTA.org,,,usr0002@dTA.org,450000.0,
EML0000013,01/01/2026 13:35:00,USR0002,PC-USR0002-01,colleague9@dTA.org,,,usr0002@dTA.org,450000.0,
EML0000014,01/01/2026 10:15:46,USR0002,PC-USR0002-01,colleague7@dTA.org,,,usr0002@dTA.org,450000.0,
EML0000015,01/01/2026 12:44:30,USR0002,PC-USR0002-01,colleague8@dTA.org,,,usr0002@dTA.org,450000.0,
EML0000016,01/01/2026 09:05:18,USR0002,PC-USR0002-01,colleague4@dTA.org,,,usr0002@dTA.org,450000.0,
EML0000017,01/01/2026 12:19:42,USR0002,PC-USR0002-01,colleague10@dTA.org,,,usr0002@dTA.org,450000.0,
EML0000018,01/01/2026 14:27:47,USR0002,PC-USR0002-01,colleague9@dTA.org,,,usr0002@dTA.org,450000.0,
EML0000019,01/01/2026 16:17:19,USR0002,PC-USR0002-01,colleague5@dTA.org,,,usr0002@dTA.org,450000.0,
EML0000020,01/01/2026 14:23:27,USR0003,PC-USR0003-01,colleague3@dTA.org,,,usr0003@dTA.org,450000.0,
EML0000021,01/01/2026 15:36:43,USR0003,PC-USR0003-01,colleague3@dTA.org,,,usr0003@dTA.org,450000.0,memo.docx
EML0000022,01/01/2026 10:39:55,USR0003,PC-USR0003-01,colleague7@dTA.org,,,usr0003@dTA.org,450000.0,
EML0000023,01/01/2026 12:31:58,USR0003,PC-USR0003-01,colleague10@dTA.org,,,usr0003@dTA.org,450000.0,memo.docx
EML0000024,01/01/2026 16:40:16,USR0003,PC-USR0003-01,colleague8@dTA.org,,,usr0003@dTA.org,450000.0,
EML0000025,01/01/2026 09:57:51,USR0003,PC-USR0003-01,colleague8@dTA.org,,,usr0003@dTA.org,450000.0,
EML0000026,01/01/2026 11:04:28,USR0003,PC-USR0003-01,colleague6@dTA.org,,,usr0003@dTA.org,450000.0,
EML0000027,01/01/2026 13:40:27,USR0003,PC-USR0003-01,colleague5@dTA.org,,,usr0003@dTA.org,450000.0,
EML0000028,01/01/2026 14:42:07,USR0004,PC-USR0004-01,colleague7@dTA.org,,,usr0004@dTA.org,450000.0,
EML0000029,01/01/2026 15:55:58,USR0004,PC-USR0004-01,colleague1@dTA.org,,,usr0004@dTA.org,450000.0,
EML0000030,01/01/2026 13:22:06,USR0004,PC-USR0004-01,colleague10@dTA.org,,,usr0004@dTA.org,450000.0,
EML0000031,01/01/2026 11:42:30,USR0004,PC-USR0004-01,colleague4@dTA.org,,,usr0004@dTA.org,450000.0,
EML0000032,01/01/2026 14:54:35,USR0004,PC-USR0004-01,colleague6@dTA.org,,,usr0004@dTA.org,450000.0,memo.docx
EML0000033,01/01/2026 13:36:14,USR0004,PC-USR0004-01,colleague7@dTA.org,,,usr0004@dTA.org,450000.0,
EML0000034,01/01/2026 09:38:59,USR0004,PC-USR0004-01,colleague5@dTA.org,,,usr0004@dTA.org,450000.0,memo.docx
EML0000035,01/01/2026 13:44:48,USR0004,PC-USR0004-01,colleague5@dTA.org,,,usr0004@dTA.org,450000.0,
EML0000036,01/01/2026 14:00:11,USR0004,PC-USR0004-01,colleague3@dTA.org,,,usr0004@dTA.org,450000.0,
EML0000037,01/01/2026 15:04:09,USR0004,PC-USR0004-01,colleague1@dTA.org,,,usr0004@dTA.org,450000.0,memo.docx
EML0000038,01/01/2026 12:24:26,USR0004,PC-USR0004-01,colleague8@dTA.org,,,usr0004@dTA.org,450000.0,
