employee_name,user_id,O,C,E,A,N,personality_average
Calvin Edan Love,CEL0561,40,39,36,19,40,34.8
Christine Reagan Deleon,CRD0624,26,22,17,39,32,27.2
Jade Felicia Caldwell,JFC0557,22,16,23,40,33,26.8
Aquila Stewart Dejesus,ASD0577,40,48,36,14,37,35.0
Micah Abdul Rojas,MAR0955,36,44,23,44,25,34.4
Gail Rhiannon Mcconnell,GRM0868,21,25,20,13,28,21.4
April Alika Levy,AAL0706,37,14,28,13,25,23.4
Rama Vielka Clayton,RVC0232,34,20,47,38,25,32.8
Tasha Casey Dalton,TCD0009,44,28,44,38,23,35.4
Aurora Sarah Manning,ASM0575,42,25,21,45,30,32.6
Devin Abdul Rogers,DAR0885,43,43,44,41,25,39.2
Jacqueline Latifah Miles,JLM0364,35,22,15,25,37,26.8
Ferris Omar Barry,FOB0756,42,41,34,20,27,32.8
Grant Camden Gay,GCG0951,33,33,25,19,44,30.8
Howard Wing Yang,HWY0038,47,39,40,22,24,34.4
Aspen Amber Vinson,AAV0450,44,24,36,41,33,35.6
Colorado John Valentine,CJV0286,18,14,17,13,26,17.6
Tyrone Damian Garner,TDG0962,42,40,36,26,21,33.0
Stephanie Victoria Lyons,SVL0803,27,35,20,36,32,30.0
Quynn Odessa Sanford,QOS0878,18,12,20,16,29,19.0
Melyssa Deirdre Morgan,MDM0625,18,42,36,27,24,29.4
Gray Mason Fulton,GMF0738,30,40,45,20,18,30.6
Bianca Elizabeth Roach,BER0314,23,20,18,19,32,22.4
Aurelia Martina Reese,AMR0400,19,16,47,28,28,27.6
Yardley Cairo Elliott,YCE0983,39,21,42,30,36,33.6
Blaine Jelani Weeks,BJW0619,30,43,47,21,39,36.0
Delilah Pearl Schneider,DPS0262,20,25,20,14,32,22.2
TaShya Yoko Bailey,TYB0779,24,20,35,36,34,29.8
Melissa Ava Stuart,MAS0025,23,14,20,21,23,20.2
Kermit Beau Leach,KBL0260,16,15,48,16,32,25.4
Geoffrey Harlan Lara,GHL0460,21,37,24,17,35,26.8
Flynn Malcolm Gibson,FMG0527,43,38,35,38,28,36.4
Heather Cynthia Leonard,HCL0651,21,19,44,36,33,30.6
Shannon Chantale Price,SCP0130,42,18,35,32,24,30.2
Castor Mark Wolf,CMW0783,21,35,14,16,26,22.4
Ryan Kelly Frost,RKF0164,40,42,17,18,42,31.8
Damian Omar Le,DOL0332,32,40,41,18,24,31.0
Robert Samuel Chen,RSC0089,41,26,35,21,29,30.4
