,email_count
Halla.Cathleen.Simmons@dtaa.com,8273
Hyatt.Trevor.Hayes@dtaa.com,7710
Kirby.Bo.Pollard@dtaa.com,7489
Byron.Tyrone.Williamson@dtaa.com,7399
Bethany.Xerxes.Johnson@dtaa.com,7005
Thomas.Vladimir.Stokes@dtaa.com,6812
Kai.Wynne.Craft@dtaa.com,6734
Winter.Veda.Burks@dtaa.com,6584
Bert.Jason.Henderson@dtaa.com,6572
Lysandra.Chastity.Brennan@dtaa.com,6477
Hashim.Damon.Dudley@dtaa.com,6451
Clinton.Coby.Wolfe@dtaa.com,6325
August.Armando.Evans@dtaa.com,6254
Blaze.Trevor.Stone@dtaa.com,6203
Alec.Mannix.Mcneil@dtaa.com,6129
Walter.Kaseem.Foley@dtaa.com,6110
Meredith.Ainsley.Wolf@dtaa.com,6068
TVS8228@aol.com,5879
Whoopi.Britanney.Camacho@dtaa.com,5875
Eugenia.Whilemina.Harrington@dtaa.com,5870
Libby.Rosalyn.Richard@dtaa.com,5852
Vance.Ira.Alston@dtaa.com,5792
Harper.Price.Harris@dtaa.com,5730
Kimberley.Kiona.Sosa@dtaa.com,5691
Caleb.Mason.Ball@dtaa.com,5569
Sara.Gail.George@dtaa.com,5478
Kim.Dara.Sullivan@dtaa.com,5461
Sasha.Britanney.Quinn@dtaa.com,5423
Jocelyn.Bree.Mccray@dtaa.com,5419
Stephanie.Briar.Harrington@dtaa.com,5399
Wesley.Kasper.Duffy@dtaa.com,5371
Price.Bevis.Pittman@dtaa.com,5342
Gage.Kaden.Odonnell@dtaa.com,5336
Lillith.Adena.Matthews@dtaa.com,5299
Halla.C.Simmons@aol.com,5276
Grant.Tyrone.Doyle@dtaa.com,5246
Francis.Brian.Armstrong@dtaa.com,5228
Jackson.Linus.Wilkerson@dtaa.com,5228
Aurora.Tatiana.Payne@dtaa.com,5213
Sarah.Imelda.Juarez@dtaa.com,5208
Dacey.Jorden.Bowen@dtaa.com,5208
HTH7928@hotmail.com,5184
Honorato.Ivan.Wall@dtaa.com,5089
Fritz.Dale.Ellison@dtaa.com,5080
Kai_Craft@juno.com,5068
Cedric.Herrod.Gilliam@dtaa.com,5048
Grady.Craig.Coffey@dtaa.com,5048
Martin.Ivan.Cooper@dtaa.com,4981
Gray.Mason.Fulton@dtaa.com,4964
Vincent.Calvin.Young@dtaa.com,4955
Gil.Quincy.Potter@dtaa.com,4947
Meredith.Lunea.Delaney@dtaa.com,4943
Dylan.Tiger.Terry@dtaa.com,4940
Hadassah.Riley.Baker@dtaa.com,4937
Dennis.Gray.Wilson@dtaa.com,4931
Rose.Hanae.Yates@dtaa.com,4925
Mallory.Alexis.Daniel@dtaa.com,4917
Ira.Dustin.Oneill@dtaa.com,4907
Oliver.Logan.Fowler@dtaa.com,4890
Josiah.Preston.Wall@dtaa.com,4884
Price.Rashad.Mullen@dtaa.com,4877
Ainsley.MacKensie.Doyle@dtaa.com,4868
Meghan.Brianna.Jensen@dtaa.com,4864
Bianca.Elizabeth.Roach@dtaa.com,4864
Vera.Mollie.Jenkins@dtaa.com,4863
Risa.Hillary.Obrien@dtaa.com,4858
Guy.Zeus.Chandler@dtaa.com,4853
Brielle.Aubrey.Marks@dtaa.com,4849
Harper.Clark.Vazquez@dtaa.com,4843
Lacota.Hilda.Lindsey@dtaa.com,4842
Josiah.Chester.Gray@dtaa.com,4842
Caleb.Jonas.Chang@dtaa.com,4842
Frances.Hermione.Owens@dtaa.com,4837
Claire.Olivia.Martin@dtaa.com,4829
Cassady.Quincy.Hampton@dtaa.com,4828
Arsenio.Kato.Wilder@dtaa.com,4827
Quincy.Preston.Moses@dtaa.com,4821
Lionel.Omar.Fisher@dtaa.com,4818
Jocelyn.Brenna.Daniels@dtaa.com,4809
Adam.Ishmael.Mcdaniel@dtaa.com,4806
Melodie.Chantale.Joyce@dtaa.com,4796
Arthur.Jacob.Raymond@dtaa.com,4791
Nola.Nerea.Ayala@dtaa.com,4788
Samson.Denton.Oconnor@dtaa.com,4787
Kirk.Palmer.Rosales@dtaa.com,4785
Rogan.Chandler.Coffey@dtaa.com,4783
Isabelle.Maggie.Benjamin@dtaa.com,4782
Bruce.Eden.Clemons@dtaa.com,4778
Molly.Sacha.Zimmerman@dtaa.com,4776
Sonya.Beatrice.Nichols@dtaa.com,4769
Frances.Alisa.Wiggins@dtaa.com,4768
Leo.Elmo.Monroe@dtaa.com,4762
Summer.Leilani.Boyer@dtaa.com,4761
Dane.Davis.Atkins@dtaa.com,4760
Colton.Kaseem.Bolton@dtaa.com,4755
Barclay.Eaton.Hensley@dtaa.com,4752
Kay.Janna.Snider@dtaa.com,4744
Melyssa.Deirdre.Morgan@dtaa.com,4741
Randall.Hashim.Palmer@dtaa.com,4730
Connor.Phelan.Guerra@dtaa.com,4728
